회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),상장일,상장폐지일
(주)TCC스틸,002710,2017/12,278692540,100915803,8106455,1503708,391370092,1984/12/21,
(주)TCC스틸,002710,2018/12,304781579,112246210,17080602,9755131,413176279,1984/12/21,
(주)TCC스틸,002710,2019/12,314210087,116843135,12856170,5037267,437173902,1984/12/21,
(주)TCC스틸,002710,2020/12,306758932,121130879,970928,-1687460,431797912,1984/12/21,
(주)가비아,079940,2011/12,64954440,48665742,8180883,7014899,52838864,2005/10/19,
(주)가비아,079940,2012/12,85244515,58945247,7619962,9419144,69058144,2005/10/19,
(주)가비아,079940,2013/12,91231294,68600227,7033504,9505713,70675565,2005/10/19,
(주)가비아,079940,2014/12,98544072,75509702,8382688,6752737,80432047,2005/10/19,
(주)가비아,079940,2015/12,105081568,84096148,11349094,8530281,91648622,2005/10/19,
(주)가비아,079940,2016/12,125796754,95951841,12549259,10177685,102178978,2005/10/19,
(주)가비아,079940,2017/12,133382584,99896520,12712157,9669613,116217941,2005/10/19,
(주)가비아,079940,2018/12,151440505,114187490,18188449,15340647,128728438,2005/10/19,
(주)가비아,079940,2019/12,199916131,134959139,23736596,21102390,148306878,2005/10/19,
(주)가비아,079940,2020/12,260025259,173203629,28545232,23751739,169044955,2005/10/19,
(주)가온칩스,399720,2018/12,,,,,,2022/05/20,
(주)가온칩스,399720,2019/12,,,,,,2022/05/20,
(주)가온칩스,399720,2020/12,,,,,,2022/05/20,
(주)강스템바이오텍,217730,2013/12,,,,,,2015/12/21,
(주)강스템바이오텍,217730,2014/12,,,,,,2015/12/21,
(주)강스템바이오텍,217730,2015/12,,,,,,2015/12/21,
(주)강스템바이오텍,217730,2016/12,,,,,,2015/12/21,
(주)강스템바이오텍,217730,2017/12,47198979,24482163,-11737865,-11531949,9132939,2015/12/21,
(주)강스템바이오텍,217730,2018/12,73194018,47581374,-11693969,-14294032,9165454,2015/12/21,
