회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS),매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),자본(*)(IFRS),이자비용(IFRS),이자수익(IFRS),배당금수익(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),* 발행한 주식총수(*)(IFRS),자산(*)(IFRS),현금및현금성자산(*)(IFRS),유동부채(*)(IFRS),재고자산(*)(IFRS),유동자산(*)(IFRS),부채(*)(IFRS),합계_기말인원,법인세비용차감전(계속사업)손익(IFRS),인건비(IFRS),금융비용(IFRS),임차료(IFRS),세금과공과(IFRS),감가상각비(IFRS),상장일,상장폐지일
(주)SH에너지화학,002360,2015/12,22899622,213882181,12639344,90740136,269400,67263,0,24557427,111139950,114048206,18503610,16794017,11416122,0,23308070,146,17658.99,15057.88,202.14,0,0,2185.45,1985/12/23,
(주)SH에너지화학,002360,2016/12,23600205,214380015,17574101,103083032,112668,268795,0,11581159,111139950,122956894,24614094,12205868,10801243,0,19873862,148,22810.99,14750.41,-156.13,0,0,2216.02,1985/12/23,
(주)SH에너지화학,002360,2017/12,13189274,184672638,8905104,105717970,84964,267878,0,16292838,111139950,123261552,30420519,8386725,18561488,0,17543581,148,11580.83,13794.92,-182.91,0,0,2233.35,1985/12/23,
(주)SH에너지화학,002360,2018/12,2811557,180753289,2766802,104065473,91287,293943,0,4284684,111139950,120895795,26369412,6653981,20857092,0,16830322,156,3422.21,14545.38,-202.66,0,0,2267.9,1985/12/23,
(주)SH에너지화학,002360,2019/12,-2363194,138161816,-3151629,97386214,129835,408136,0,14508726,111139950,121126250,37495593,7038413,15888341,0,23740037,158,-3369.6,14488.62,-278.3,0,0,2462.82,1985/12/23,
(주)SH에너지화학,002360,2020/12,-7104116,91354318,-7218778,89816934,193043,252880,7800,3789738,111139950,116570206,25916429,7026471,9571644,0,26753272,161,-9614.07,14998.17,-67.64,0,0,2521.84,1985/12/23,
(주)SIMPAC,009160,2011/12,27382839,213867522,21196377,155833324,1306820,1924473,764403,18174973,29084925,296953131,62612712,116922857,26353233,0,141119807,257,29402.87,17722.3,-1382.06,0,0,2002.29,1989/07/29,
(주)SIMPAC,009160,2012/12,25309896,223854758,22517068,177830482,1623737,1903191,2393884,12986618,29084925,307366684,22482530,108043478,25281451,0,129536202,275,27333.81,18081.51,-2673.34,0,0,2761.47,1989/07/29,
(주)SIMPAC,009160,2013/12,23741361,204527751,19196136,197900866,1423590,1784583,2903912,11709355,29084925,349836891,8440790,133732141,25606746,0,151936024,277,26700.33,17564.92,-3264.91,0,0,3116.22,1989/07/29,
(주)SIMPAC,009160,2014/12,18736806,227491803,10218575,203904919,2022728,875445,2872423,29061253,29084925,329325876,18149680,116089000,31897827,0,125420957,305,13208.15,20170,-1725.14,0,0,3388.79,1989/07/29,
(주)SIMPAC,009160,2015/12,23630499,213152303,19448583,220087525,1006031,412228,2372244,10489830,29084925,369348917,13257512,142954454,48860928,0,149261391,296,25122.58,21419.52,-1778.44,0,0,3747.74,1989/07/29,
(주)SIMPAC,009160,2016/12,21406076,215839356,16444650,228959172,1023886,179566,1610421,30470575,29084925,366245273,37552158,130874395,41542910,0,137286101,306,21457.25,21089.3,-766.1,0,0,4037.72,1989/07/29,
(주)SIMPAC,009160,2017/12,13971089,203150228,7133940,223781988,915110,249289,1738270,-13628628,29084925,343005145,21377049,114191470,34297232,0,119223157,305,11557.99,17775.61,-1072.45,0,0,5150.76,1989/07/29,
(주)SIMPAC,009160,2018/12,7215888,268863854,62381304,411119510,2222506,794755,2571709,36290248,65429516,628334175,96706341,207957388,103871365,0,217214665,500,64536.83,23657.49,-1143.96,0,0,7691.97,1989/07/29,
(주)SIMPAC,009160,2019/12,8438305,391970769,11507259,419215968,2947600,1523359,5016955,45146571,65429516,608693104,102478339,178141755,69944925,0,189477136,491,14937.22,28048.14,-3592.71,0,0,11333.66,1989/07/29,
(주)SIMPAC,009160,2020/12,6895814,272087150,26301694,434212716,2412294,591238,4123646,433907,65429516,656622388,81127096,206488970,99684591,0,222409672,484,33353.23,26722.93,-2302.59,0,0,11025.3,1989/07/29,
(주)SNT에너지,100840,2011/12,-6597216,195318747,-4155767,160595865,716424,420544,2498,-17274075,7084612,276511841,20431413,96002453,15421719,0,115915976,184,-5366.31,0,293.38,0,0,2256.75,2008/02/22,
