회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),상장일,상장폐지일
(주)SH에너지화학,002360,2018/12,120895795,104065473,2811557,2766802,180753289,1985/12/23,
(주)SH에너지화학,002360,2019/12,121126250,97386214,-2363194,-3151629,138161816,1985/12/23,
(주)SH에너지화학,002360,2020/12,116570206,89816934,-7104116,-7218778,91354318,1985/12/23,
(주)SIMPAC,009160,2011/12,296953131,155833324,27382839,21196377,213867522,1989/07/29,
(주)SIMPAC,009160,2012/12,307366684,177830482,25309896,22517068,223854758,1989/07/29,
(주)SIMPAC,009160,2013/12,349836891,197900866,23741361,19196136,204527751,1989/07/29,
(주)SIMPAC,009160,2014/12,329325876,203904919,18736806,10218575,227491803,1989/07/29,
(주)SIMPAC,009160,2015/12,369348917,220087525,23630499,19448583,213152303,1989/07/29,
(주)SIMPAC,009160,2016/12,366245273,228959172,21406076,16444650,215839356,1989/07/29,
(주)SIMPAC,009160,2017/12,343005145,223781988,13971089,7133940,203150228,1989/07/29,
(주)SIMPAC,009160,2018/12,628334175,411119510,7215888,62381304,268863854,1989/07/29,
(주)SIMPAC,009160,2019/12,608693104,419215968,8438305,11507259,391970769,1989/07/29,
(주)SIMPAC,009160,2020/12,656622388,434212716,6895814,26301694,272087150,1989/07/29,
(주)SNT에너지,100840,2011/12,276511841,160595865,-6597216,-4155767,195318747,2008/02/22,
(주)SNT에너지,100840,2012/12,292802033,183306309,15132783,9087721,230707564,2008/02/22,
(주)SNT에너지,100840,2013/12,311675279,198164671,16804410,16189688,200750984,2008/02/22,
(주)SNT에너지,100840,2014/12,304511816,207712504,13777651,11264253,242746888,2008/02/22,
(주)SNT에너지,100840,2015/12,316196096,231399939,33918033,27029932,260094045,2008/02/22,
(주)SNT에너지,100840,2016/12,348042346,229799567,1195144,1659742,254089906,2008/02/22,
(주)SNT에너지,100840,2017/12,300266693,233817326,19201911,4581777,184091945,2008/02/22,
(주)SNT에너지,100840,2018/12,280991534,231276490,-1892191,1825479,139516396,2008/02/22,
(주)SNT에너지,100840,2019/12,331391237,245545053,14679703,14578960,202822913,2008/02/22,
(주)SNT에너지,100840,2020/12,332066179,236558985,22712569,9407217,229991237,2008/02/22,
(주)SNT홀딩스,036530,2011/12,388123974,387839074,-4240083,5766277,2257851,2002/10/22,
(주)SNT홀딩스,036530,2012/12,388964716,388611726,6695560,9011145,8718270,2002/10/22,
(주)SNT홀딩스,036530,2013/12,397336142,396851717,6923357,8018313,8826810,2002/10/22,
(주)SNT홀딩스,036530,2014/12,399244416,398863036,5966121,6891599,7701882,2002/10/22,
(주)SNT홀딩스,036530,2015/12,430584006,421925486,6719535,27765789,8475099,2002/10/22,
(주)SNT홀딩스,036530,2016/12,427001710,426682947,7999927,6923176,9818190,2002/10/22,
(주)SNT홀딩스,036530,2017/12,425435423,425136143,5401909,4172419,7417869,2002/10/22,
(주)SNT홀딩스,036530,2018/12,422804813,422573122,5392033,6218079,7292112,2002/10/22,
(주)SNT홀딩스,036530,2019/12,417172874,416939604,8991504,9244252,11015928,2002/10/22,
(주)SNT홀딩스,036530,2020/12,423961201,423684010,22973048,22951239,25309708,2002/10/22,
(주)STX,011810,2011/12,3302248000,1164648000,61711000,84657000,4173397000,1990/09/12,
(주)STX,011810,2012/12,3226878000,1123534000,17733000,-23863000,4116767000,1990/09/12,
(주)STX,011810,2013/12,1086567000,-522090000,-67233000,-1646014000,1895063000,1990/09/12,
(주)STX,011810,2014/12,1070433000,54894000,23414000,334488000,1291351000,1990/09/12,
(주)STX,011810,2015/12,1057543000,72316000,-16336000,-53449000,1362127000,1990/09/12,
(주)STX,011810,2016/12,627686000,-328883000,-105780000,-456150000,1465561000,1990/09/12,
(주)STX,011810,2017/12,520393000,44710000,30170000,336179000,1595494000,1990/09/12,
(주)STX,011810,2018/12,446758000,62213000,-6902000,5024000,1329890000,1990/09/12,
(주)STX,011810,2019/12,462734000,50616000,-13697000,-37142000,1237876000,1990/09/12,
(주)STX,011810,2020/12,362854000,25856000,-7439000,-16578000,788462000,1990/09/12,
(주)TCC스틸,002710,2011/12,407743559,205616971,12575854,6828699,456928069,1984/12/21,
(주)TCC스틸,002710,2012/12,438642951,209755733,11675644,4206491,440568155,1984/12/21,
(주)TCC스틸,002710,2013/12,444204925,210086242,8348275,391783,419483813,1984/12/21,
(주)TCC스틸,002710,2014/12,461297588,210093654,10868549,1022624,401323585,1984/12/21,
(주)TCC스틸,002710,2015/12,330651742,76555951,14570434,-140083396,350074629,1984/12/21,
