회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),자본(*)(요약)(IFRS)(백만원),부가가치(IFRS)(백만원),유형자산(요약)(IFRS)(백만원),기계장치(IFRS)(천원),(감가상각누계액)(IFRS)(천원),자산(*)(요약)(IFRS)(백만원),상장일,상장폐지일
(주)강스템바이오텍,217730,2015/12,-3800024,21237,-2880.72,2980,0,0,24983,2015/12/21,
(주)강스템바이오텍,217730,2016/12,-7796613,22977,-5090.69,4039,0,0,47442,2015/12/21,
(주)강스템바이오텍,217730,2017/12,-10267751,24668,-2123.85,12481,0,0,44509,2015/12/21,
(주)강스템바이오텍,217730,2018/12,-11298071,47945,-5971.99,14220,0,0,66185,2015/12/21,
(주)강스템바이오텍,217730,2019/12,-11097344,70845,-16534.36,22739,0,0,98626,2015/12/21,
(주)강스템바이오텍,217730,2020/12,-16124997,51431,-12054.54,22550,0,0,68097,2015/12/21,
(주)강원랜드,035250,2011/12,428912416,2278202,783195.28,1302069,390705277,148657808,2730284,2003/09/04,
(주)강원랜드,035250,2012/12,458412852,2383161,693820.93,1334113,451841848,179043611,2915386,2003/09/04,
(주)강원랜드,035250,2013/12,432139763,2523963,824512.27,1327018,474572756,212888941,3105430,2003/09/04,
(주)강원랜드,035250,2014/12,516728788,2716175,899930.11,1284799,475738420,242308772,3380462,2003/09/04,
(주)강원랜드,035250,2015/12,581804341,2997442,1001297.65,1253601,487744949,274020447,3688060,2003/09/04,
(주)강원랜드,035250,2016/12,600686651,3252738,1037898.56,1254129,490715931,301058311,3975980,2003/09/04,
(주)강원랜드,035250,2017/12,465968987,3500790,1011578.3,1253404,500656285,333090287,4182527,2003/09/04,
(주)강원랜드,035250,2018/12,366067885,3586453,846353.62,1299058,197540429,0,4229631,2003/09/04,
(주)강원랜드,035250,2019/12,408994810,3718433,906619.21,1353732,564417639,376700299,4436462,2003/09/04,
(주)강원랜드,035250,2020/12,-657703238,3244744,7259.47,1338246,584335932,402232656,3635974,2003/09/04,
(주)강원에너지,114190,2011/11,15102830,24502,12844.61,3912,2654796,1797308,53719,2009/11/20,
(주)강원에너지,114190,2012/12,-3145103,36108,18760.61,4416,2928596,1942109,89258,2009/11/20,
(주)강원에너지,114190,2013/12,16975955,45877,12256.79,4787,2938096,2073627,72441,2009/11/20,
(주)강원에너지,114190,2014/12,-14600421,50445,8510.74,10004,3214210,2206393,67038,2009/11/20,
(주)강원에너지,114190,2015/12,18555072,54881,9171.31,9712,3189863,2303748,80939,2009/11/20,
(주)강원에너지,114190,2016/12,-18630100,53746,8913.55,9491,2753100,1970813,70850,2009/11/20,
(주)강원에너지,114190,2017/12,-4605588,47117,713.82,9243,2785907,2089983,87781,2009/11/20,
(주)강원에너지,114190,2018/12,-10047711,49286,11569.08,8853,2775452,2183679,89620,2009/11/20,
(주)강원에너지,114190,2019/12,7013798,22904,-22522.15,9090,4148008,2301810,55106,2009/11/20,
(주)강원에너지,114190,2020/12,-4228563,17211,-6960,6334,3259409,1743367,32998,2009/11/20,
