회사명,거래소코드,회계년도,매출액(영업수익)(*)(연결),영업이익(손실)(연결),당기순이익(순손실)(연결)
(주)골드카운티,058900,2006/12,,,
(주)골드카운티,058900,2007/12,9789297,-13379039,-48989171
(주)골드카운티,058900,2008/12,,,
(주)골드카운티,058900,2009/12,3755464,-3397130,-14359362
(주)골드퍼시픽,038530,2000/12,,,
(주)골드퍼시픽,038530,2001/12,,,
(주)골드퍼시픽,038530,2002/12,,,
(주)골드퍼시픽,038530,2003/12,,,
(주)골드퍼시픽,038530,2004/12,44831508,-10627672,-24575256
(주)골드퍼시픽,038530,2005/12,,,
(주)골드퍼시픽,038530,2006/12,,,
(주)골드퍼시픽,038530,2007/12,,,
(주)골드퍼시픽,038530,2008/12,,,
(주)골드퍼시픽,038530,2009/12,,,
(주)골드퍼시픽,038530,2010/12,,,
(주)광림,014200,2000/12,,,
(주)광림,014200,2001/12,,,
(주)광림,014200,2002/12,,,
(주)광림,014200,2003/12,,,
(주)광림,014200,2004/12,,,
(주)광림,014200,2005/12,,,
(주)광림,014200,2006/12,,,
(주)광림,014200,2007/12,,,
(주)광림,014200,2008/12,,,
(주)광림,014200,2009/12,,,
(주)광림,014200,2010/12,,,
(주)광명전기,017040,2000/12,,,
(주)광명전기,017040,2002/11,,,
(주)광명전기,017040,2003/11,,,
(주)광명전기,017040,2004/11,,,
(주)광명전기,017040,2005/12,55086574,253108,4354991
(주)광명전기,017040,2006/12,52923069,873494,4864997
(주)광명전기,017040,2007/12,65945292,1041356,808272
(주)광명전기,017040,2008/12,77349378,1123094,-354351
(주)광명전기,017040,2009/12,84159404,4021322,1220668
(주)광명전기,017040,2010/12,92782880,3987892,941537
(주)광무,029480,2000/12,,,
(주)광무,029480,2001/12,,,
(주)광무,029480,2002/12,,,
(주)광무,029480,2003/12,,,
(주)광무,029480,2004/12,,,
(주)광무,029480,2005/12,,,
(주)광무,029480,2006/12,,,
(주)광무,029480,2007/12,73948574,2652844,1510193
(주)광무,029480,2008/12,,,
(주)광무,029480,2009/12,,,
(주)광무,029480,2010/12,,,
(주)광주신세계,037710,2002/12,,,
(주)광주신세계,037710,2003/12,,,
(주)광주신세계,037710,2004/12,,,
(주)광주신세계,037710,2005/12,,,
(주)광주신세계,037710,2006/12,,,
(주)광주신세계,037710,2007/12,,,
(주)광주신세계,037710,2008/12,,,
(주)광주신세계,037710,2009/12,,,
(주)광주신세계,037710,2010/12,,,
(주)구영테크,053270,2002/12,,,
(주)구영테크,053270,2003/12,,,
(주)구영테크,053270,2004/12,,,
(주)구영테크,053270,2005/12,,,
(주)구영테크,053270,2006/12,61547440,1360381,-2027741
(주)구영테크,053270,2007/12,112614461,2676506,797372
(주)구영테크,053270,2008/12,101874939,-2830185,-10494118
(주)구영테크,053270,2009/12,109296046,6732516,469663
(주)구영테크,053270,2010/12,150546089,6192148,1669452
(주)국동,005320,2000/12,106425696,7376472,120919
(주)국동,005320,2001/12,110939349,5245225,1581037
(주)국동,005320,2002/12,134619687,583759,-3296708
(주)국동,005320,2003/12,193529528,4912032,-3913783
(주)국동,005320,2004/12,212750909,-922021,-7267881
(주)국동,005320,2005/12,202875903,5512652,-49157
(주)국동,005320,2006/12,201286605,2507103,-783597
(주)국동,005320,2007/12,179640756,-3888154,-11077656
(주)국동,005320,2008/12,194280502,-688902,-11113224
(주)국동,005320,2009/12,147358171,965893,-10923490
(주)국동,005320,2010/12,150494430,2629529,-2295051
(주)국보,001140,2000/12,,,
