회사명,거래소코드,회계년도,상장일,상장폐지일,자산(*)(연결)(천원),자본(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원)
(주)SNT홀딩스,036530,2010/12,2002/10/22,,1987938347,1218499863,1498605411,120395062,94564129
(주)STX,011810,2000/12,1990/09/12,,478648508,109686586,293286301,37802633,2769474
(주)STX,011810,2001/12,1990/09/12,,1085467691,119356493,485036506,39440092,5286523
(주)STX,011810,2002/12,1990/09/12,,1382112917,269294723,976013576,82643408,15342393
(주)STX,011810,2003/12,1990/09/12,,1598451454,372132892,1229648691,80066847,-2743197
(주)STX,011810,2004/12,1990/09/12,,3300074094,551513534,2123173148,-28802107,49305538
(주)STX,011810,2005/12,1990/09/12,,3299630751,920040794,4255319751,121637388,131735949
(주)STX,011810,2006/12,1990/09/12,,3963939573,1105928872,4810543607,212154726,132608735
(주)STX,011810,2007/12,1990/09/12,,7967403718,2138810748,8346308915,642149075,463901895
(주)STX,011810,2008/12,1990/09/12,,23269857165,4041815714,16265269019,842889640,363078281
(주)STX,011810,2009/12,1990/09/12,,22988075337,3514601933,16994193759,-191953764,-500413506
(주)STX,011810,2010/12,1990/09/12,,23809537565,4264032437,19607371235,427858780,25672189
(주)TCC스틸,002710,2000/12,1984/12/21,,246067682,103812921,244227642,14307912,5625114
(주)TCC스틸,002710,2001/12,1984/12/21,,248341448,116338500,254601800,14299893,2168929
(주)TCC스틸,002710,2002/12,1984/12/21,,259011407,119490451,263647511,9418706,4942314
(주)TCC스틸,002710,2003/12,1984/12/21,,282272934,125534924,289797303,8243366,5535685
(주)TCC스틸,002710,2004/12,1984/12/21,,302987339,135115576,361287927,5428132,14374974
(주)TCC스틸,002710,2005/12,1984/12/21,,319579095,141624638,347212301,5312091,3360673
(주)TCC스틸,002710,2006/12,1984/12/21,,270084588,137171317,283226170,-522384,6778310
(주)TCC스틸,002710,2007/12,1984/12/21,,292219840,140222048,297902140,8296271,952516
(주)TCC스틸,002710,2008/12,1984/12/21,,300022317,139444828,437461926,52331474,624601
