회사명,거래소코드,회계년도,당기순이익(순손실),매출액(영업수익)(*),영업이익(손실)
(주)경방,000050,2003/12,187305,185753163,-1304488
(주)경방,000050,2004/12,-9446299,173896808,-6934565
(주)경방,000050,2005/12,772601,163967992,3432211
(주)경방,000050,2006/12,-21696477,156260079,-2401795
(주)경방,000050,2007/12,60485023,152194104,-13154824
(주)경방,000050,2008/12,-14930503,154821729,1092133
(주)경방,000050,2009/12,6480976,177298137,-9593759
(주)경방,000050,2010/12,22224809,272270974,41704894
(주)경윤하이드로에너지,019120,2000/12,2031526,42297776,1968958
(주)경윤하이드로에너지,019120,2001/12,2421779,42346993,2498408
(주)경윤하이드로에너지,019120,2002/12,2149978,42870585,1955639
(주)경윤하이드로에너지,019120,2003/12,958103,38090767,157182
(주)경윤하이드로에너지,019120,2004/12,1292316,35956217,96081
(주)경윤하이드로에너지,019120,2005/12,-1793572,29735305,-3293516
(주)경윤하이드로에너지,019120,2006/12,-3226786,31610505,-4351107
(주)경윤하이드로에너지,019120,2007/12,-2670948,28052031,-3957949
(주)경윤하이드로에너지,019120,2008/12,-6727760,23220526,-1143688
(주)경윤하이드로에너지,019120,2009/12,-9335728,5018862,-2880414
(주)경윤하이드로에너지,019120,2010/12,-29421901,7735620,-2647412
(주)경인양행,012610,2000/12,2483730,70069338,3040326
(주)경인양행,012610,2001/12,5756107,81614530,3114399
(주)경인양행,012610,2002/12,4603853,93646343,5352655
(주)경인양행,012610,2003/12,3009362,88282906,2896432
(주)경인양행,012610,2004/12,4301525,95832343,2407076
(주)경인양행,012610,2005/12,2533411,88050292,224505
(주)경인양행,012610,2006/12,883371,84978240,-484382
(주)경인양행,012610,2007/12,4246012,93016594,2591890
(주)경인양행,012610,2008/12,12873680,125462289,8044075
(주)경인양행,012610,2009/12,11569545,129006386,4944892
(주)경인양행,012610,2010/12,6319272,149007816,510668
(주)고영테크놀러지,098460,2008/12,8121044,34349879,5924671
(주)고영테크놀러지,098460,2009/12,1162140,26915148,2269359
(주)고영테크놀러지,098460,2010/12,15847379,71207683,18818468
(주)고제,002540,2000/12,-5534072,44846948,3512313
(주)고제,002540,2001/12,-146475974,31391929,-537567
(주)고제,002540,2002/12,2083120,31272206,480910
(주)고제,002540,2003/12,-1542268,26701818,-786621
(주)고제,002540,2004/12,-5231616,25188170,-2416836
(주)고제,002540,2005/12,-9047214,7729896,-2466296
(주)고제,002540,2006/12,-30688219,5103464,-5101899
(주)고제,002540,2007/12,-26322171,5486193,-6365935
(주)고제,002540,2008/12,-7730982,569718,-3794750
(주)고제,002540,2009/12,-21901503,7588320,1334039
(주)고합,004460,2000/12,-1266782134,1254996858,-97281711
(주)고합,004460,2001/12,-790758886,1125343377,-49512650
(주)골드앤에스,035290,2000/12,-4098299,23803121,-3902087
(주)골드앤에스,035290,2001/12,-10940847,25281194,54570
(주)골드앤에스,035290,2002/12,-10762332,26246918,-4685080
(주)골드앤에스,035290,2003/12,406922,28269553,541962
(주)골드앤에스,035290,2004/12,1622565,36471678,1653918
(주)골드앤에스,035290,2005/12,2067831,42184917,1280866
(주)골드앤에스,035290,2006/12,-1850039,40843635,-769792
(주)골드앤에스,035290,2007/12,1262606,45661772,1633819
(주)골드앤에스,035290,2008/12,71026,48320703,1023694
(주)골드앤에스,035290,2009/12,422643,50994395,1041269
(주)골드앤에스,035290,2010/12,-8737173,50487261,327943
(주)골드카운티,058900,2004/12,1165814,17593492,1674344
(주)골드카운티,058900,2005/12,-2571166,15062031,-2541362
(주)골드카운티,058900,2006/12,-30453538,11080154,-4215540
(주)골드카운티,058900,2007/12,-49213016,6163090,-7551898
(주)골드카운티,058900,2008/12,-14166048,3548409,-3669382
(주)골드카운티,058900,2009/12,-14359362,3755464,-3391900
(주)골드퍼시픽,038530,2000/12,1013282,10136715,261190
(주)골드퍼시픽,038530,2001/12,-1609844,14253076,-3504152
(주)골드퍼시픽,038530,2002/12,-7343412,29891799,-4045349
(주)골드퍼시픽,038530,2003/12,-11608849,46424885,-7770732
(주)골드퍼시픽,038530,2004/12,-24575256,41742142,-7315400
(주)골드퍼시픽,038530,2005/12,-16248728,17208535,-3089830
(주)골드퍼시픽,038530,2006/12,-482942,25667749,156883
(주)골드퍼시픽,038530,2007/12,-8922859,7549743,-2985767
(주)골드퍼시픽,038530,2008/12,-1370811,10151537,-1137400
(주)골드퍼시픽,038530,2009/12,155292,8283127,-797315
(주)골드퍼시픽,038530,2010/12,407494,10718074,774061
(주)광림,014200,2000/12,646322,53698626,761635
(주)광림,014200,2001/12,-1556602,50694243,-896673
(주)광림,014200,2002/12,-745228,59549482,1560702
(주)광림,014200,2003/12,2010572,64649773,1587163
(주)광림,014200,2004/12,1675794,68739030,2141805
(주)광림,014200,2005/12,-771353,63679674,1996339
(주)광림,014200,2006/12,1811539,72557817,1804611
(주)광림,014200,2007/12,7942228,80603787,1160231
(주)광림,014200,2008/12,734370,75005375,592630
(주)광림,014200,2009/12,-680366,73150221,362197
(주)광림,014200,2010/12,2591552,93434519,2652459
(주)광명전기,017040,2000/12,-761880,30290010,1067506
(주)광명전기,017040,2002/11,1063256,44895379,1210701
(주)광명전기,017040,2003/11,2219935,42804219,3380803
(주)광명전기,017040,2004/11,2214661,39607731,334547
(주)광명전기,017040,2005/12,4177322,46234904,-350386
(주)광명전기,017040,2006/12,4701154,46571716,1008593
(주)광명전기,017040,2007/12,837715,36387371,323337
(주)광명전기,017040,2008/12,-456109,51124055,512269
(주)광명전기,017040,2009/12,260831,55112389,1777403
(주)광명전기,017040,2010/12,299357,68226344,2312128
(주)광무,029480,2000/12,1505697,70628789,3508586
(주)광무,029480,2001/12,-269356,54151192,617908
(주)광무,029480,2002/12,-3810453,41423307,-1762301
(주)광무,029480,2003/12,633589,41945377,916631
(주)광무,029480,2004/12,-9716820,43229865,-3980130
(주)광무,029480,2005/12,-170662,33974761,475387
(주)광무,029480,2006/12,-4958514,41006386,-1458207
(주)광무,029480,2007/12,1039644,60219589,2086978
(주)광무,029480,2008/12,1098351,67440018,2815921
(주)광무,029480,2009/12,1894815,83278807,5034317
(주)광무,029480,2010/12,-17870753,80264838,5035538
(주)광주신세계,037710,2002/12,21173141,299712705,27595719
(주)광주신세계,037710,2003/12,14965904,106737452,20516525
(주)광주신세계,037710,2004/12,12269885,99012872,20333420
(주)광주신세계,037710,2005/12,18936546,95102252,24995342
(주)광주신세계,037710,2006/12,21221192,145258359,28931011
(주)광주신세계,037710,2007/12,27384595,184849268,36585556
(주)광주신세계,037710,2008/12,31093547,190163145,39332735
(주)광주신세계,037710,2009/12,36519339,191841842,43297471
(주)광주신세계,037710,2010/12,44121970,213091292,52722832
(주)구영테크,053270,2002/12,1159076,28864026,1494791
(주)구영테크,053270,2003/12,2151005,33259206,2104486
(주)구영테크,053270,2004/12,1928845,27350457,1598292
(주)구영테크,053270,2005/12,-52936,53949208,964811
(주)구영테크,053270,2006/12,-1980255,56309801,2436833
(주)구영테크,053270,2007/12,830404,64583210,3389267
(주)구영테크,053270,2008/12,-10501164,49321887,499728
(주)구영테크,053270,2009/12,574371,50369361,4909835
(주)구영테크,053270,2010/12,1739706,60777103,6135206
(주)국동,005320,2000/12,2720909,117207890,11440633
(주)국동,005320,2001/12,2802062,129056122,12856805
(주)국동,005320,2002/12,291785,143834790,8307965
(주)국동,005320,2003/12,3645690,153047334,9243788
(주)국동,005320,2004/12,680688,150074863,4300788
(주)국동,005320,2005/12,1161319,150879313,3159033
(주)국동,005320,2006/12,-3970212,149032220,2568367
(주)국동,005320,2007/12,-6036676,120858692,-541401
(주)국동,005320,2008/12,-14217251,134249865,-2190742
(주)국동,005320,2009/12,-20240971,99958317,2635426
(주)국동,005320,2010/12,-933277,111321111,3173959
(주)국보,001140,2000/12,901950,52926932,883482
(주)국보,001140,2001/12,69650,67366863,1501578
(주)국보,001140,2002/12,548998,78433900,2362569
(주)국보,001140,2003/12,295666,80177102,2076675
(주)국보,001140,2004/12,595436,86078688,2237575
(주)국보,001140,2005/12,47302,88760140,1772491
(주)국보,001140,2006/12,-584866,84814290,-529584
(주)국보,001140,2007/12,270808,91718679,2086417
(주)국보,001140,2008/12,-405381,105396941,1795384
(주)국보,001140,2009/12,493317,97001521,2714627
(주)국보,001140,2010/12,869318,108593661,2405561
(주)국보디자인,066620,2002/12,4428313,58040225,5949710
(주)국보디자인,066620,2003/12,4341386,65251955,5959799
(주)국보디자인,066620,2004/12,255073,55022175,528665
(주)국보디자인,066620,2005/12,2926505,67035044,4076530
(주)국보디자인,066620,2006/12,3272492,73557007,3137131
(주)국보디자인,066620,2007/12,4580072,97086759,6405990
(주)국보디자인,066620,2008/12,3819937,123566422,3306454
(주)국보디자인,066620,2009/12,5072819,97683733,8648495
(주)국보디자인,066620,2010/12,5526594,103169415,3871015
(주)국순당,043650,2000/12,12544914,65570292,16707958
(주)국순당,043650,2001/12,22883388,98403986,30697011
(주)국순당,043650,2002/12,26722586,116727157,35580189
(주)국순당,043650,2003/12,28339898,131154379,37772237
(주)국순당,043650,2004/12,18836966,110338547,22205908
(주)국순당,043650,2005/12,20441496,98631961,22250667
(주)국순당,043650,2006/12,6676144,74924226,4836804
(주)국순당,043650,2007/12,5298952,61902037,3974340
(주)국순당,043650,2008/12,3697874,54098336,1576944
(주)국순당,043650,2009/12,7915401,54830821,4345765
(주)국순당,043650,2010/12,14364538,103748078,14160223
(주)국영지앤엠,006050,2000/12,1054412,31307592,1781542
(주)국영지앤엠,006050,2001/12,-1158046,29581293,759491
(주)국영지앤엠,006050,2002/12,-2490706,28628285,-2553301
(주)국영지앤엠,006050,2003/12,1582669,26440742,1433058
(주)국영지앤엠,006050,2004/12,1647431,36566456,2222034
(주)국영지앤엠,006050,2005/12,1759689,29896968,2088507
(주)국영지앤엠,006050,2006/12,1144613,32511431,778798
(주)국영지앤엠,006050,2007/12,670361,38334478,669453
(주)국영지앤엠,006050,2008/12,-1099791,34596397,-2521799
(주)국영지앤엠,006050,2009/12,207403,45629599,-328943
(주)국영지앤엠,006050,2010/12,7881530,41942761,2176226
(주)굿이엠지,051530,2001/12,4629939,34867341,4843900
(주)굿이엠지,051530,2002/12,5406300,43166596,6183861
(주)굿이엠지,051530,2003/12,1127784,24509809,1490150
(주)굿이엠지,051530,2004/12,-4528712,13333049,-2227157
(주)굿이엠지,051530,2005/12,-10707661,5155384,-5559885
(주)굿이엠지,051530,2006/12,-19930177,8252086,-11123886
(주)굿이엠지,051530,2007/12,-11456979,3915194,-5311523
(주)굿이엠지,051530,2008/12,-50596539,1279450,-4653696
(주)그래디언트,035080,2000/12,-16928316,24657345,-19305525
(주)그래디언트,035080,2001/12,-12235361,97224931,-11746076
(주)그래디언트,035080,2002/12,-12912502,135014276,-2908872
(주)그래디언트,035080,2003/12,-11986828,41428786,-4968642
(주)그래디언트,035080,2004/12,-8442849,77728059,-3579145
(주)그래디언트,035080,2005/12,2689043,94060279,816260
(주)그래디언트,035080,2006/12,28589525,106039856,-906380
(주)그래디언트,035080,2007/12,-6377502,32420288,681138
(주)그래디언트,035080,2008/12,2668637,33183274,11663677
(주)그래디언트,035080,2009/12,275196463,9997421,-19774344
(주)그래디언트,035080,2010/12,-7132452,8669588,-15044524
(주)그로웰텔레콤,035780,2000/12,841038,19294217,1391926
(주)그로웰텔레콤,035780,2001/12,-7261667,34421061,-8344201
(주)그로웰텔레콤,035780,2002/12,-15688041,39230087,-11228423
(주)그로웰텔레콤,035780,2003/12,-12901401,41181420,-1191683
(주)글로벌스탠다드테크놀로지,083450,2006/12,4773404,30824954,4952980
(주)글로벌스탠다드테크놀로지,083450,2007/12,3540635,37085962,3557264
(주)글로벌스탠다드테크놀로지,083450,2008/12,-141495,20888147,-150190
(주)글로벌스탠다드테크놀로지,083450,2009/12,1609316,22417557,625801
(주)글로벌스탠다드테크놀로지,083450,2010/12,5735810,46203130,6191549
(주)글로포스트,037830,2002/12,-9040159,7454221,-5466849
(주)글로포스트,037830,2003/12,-20429820,6276405,-9094045
(주)글로포스트,037830,2004/12,-5178711,874914,-3431103
(주)글로포스트,037830,2005/12,-4680424,6793562,-610419
(주)글로포스트,037830,2006/12,-14941146,10679817,-7740011
(주)글로포스트,037830,2007/12,-36494130,13889387,-12421036
(주)글로포스트,037830,2008/12,-11073229,16983103,-2746319
(주)금양,001570,2000/12,-5692225,51310867,-4065126
(주)금양,001570,2001/12,-2615540,55512054,-1764981
(주)금양,001570,2002/12,-33616152,49354128,-409367
(주)금양,001570,2003/12,-5218312,38658935,810020
(주)금양,001570,2004/12,227055,42855817,3180619
(주)금양,001570,2005/12,6099464,51474876,4609277
(주)금양,001570,2006/12,520235,44724117,2540879
(주)금양,001570,2007/12,25268,47096072,1028950
(주)금양,001570,2008/12,3250966,55441464,3854123
(주)금양,001570,2009/12,1483632,67389205,2422247
(주)금양,001570,2010/12,812764,90724087,4461857
(주)금화피에스시,036190,2000/12,4201706,27654208,5236233
(주)금화피에스시,036190,2001/12,3100588,28568697,3070730
(주)금화피에스시,036190,2002/12,2778961,38407683,2981146
(주)금화피에스시,036190,2003/12,2238290,33771435,2395458
(주)금화피에스시,036190,2004/12,2525895,31397155,2500781
(주)금화피에스시,036190,2005/12,3631552,46374509,2857022
(주)금화피에스시,036190,2006/12,3611750,59519662,3230966
(주)금화피에스시,036190,2007/12,6606582,54125611,7085752
(주)금화피에스시,036190,2008/12,9245126,55623354,10252747
(주)금화피에스시,036190,2009/12,9664207,69746297,10814617
(주)금화피에스시,036190,2010/12,11637324,97654825,12628351
(주)기린,006070,2000/12,-2003870,82024589,3670447
(주)기린,006070,2001/12,-3922262,78294832,1550676
(주)기린,006070,2002/12,-5472337,66883074,-68837
(주)기린,006070,2003/12,-14921245,64288672,-6689098
(주)기린,006070,2004/12,-2591638,69232443,505694
(주)기린,006070,2005/12,1020902,72067911,1626665
(주)기린,006070,2006/12,12004549,66183430,-4168244
(주)기린,006070,2007/12,-13717968,80577798,-8624456
(주)기린,006070,2008/12,-23829141,86500582,-11916573
(주)기산텔레콤,035460,2000/12,4619211,45527375,3514215
(주)기산텔레콤,035460,2001/12,1152432,37052847,-1730103
(주)기산텔레콤,035460,2002/12,-5337751,34905527,-4265786
(주)기산텔레콤,035460,2003/12,1643360,33929936,1554873
(주)기산텔레콤,035460,2004/12,5406664,56283897,6118436
(주)기산텔레콤,035460,2005/12,-8390920,36184572,-4366977
(주)기산텔레콤,035460,2006/12,1479094,74540455,662859
(주)기산텔레콤,035460,2007/12,-4256389,72809740,-4121264
(주)기산텔레콤,035460,2008/12,-7624799,48879801,-2684115
(주)기산텔레콤,035460,2009/12,-5877893,40064047,-1212787
(주)기산텔레콤,035460,2010/12,2004009,63580595,3731250
(주)까뮤이앤씨,013700,2000/12,260413,89073995,8917630
(주)까뮤이앤씨,013700,2001/12,511947,82969530,7878834
(주)까뮤이앤씨,013700,2002/12,448805,82173351,6414679
(주)까뮤이앤씨,013700,2003/12,1626624,92898139,4779660
(주)까뮤이앤씨,013700,2004/12,2681124,97970971,5813432
(주)까뮤이앤씨,013700,2005/12,4179359,100452866,8483706
(주)까뮤이앤씨,013700,2006/12,3220139,94929809,3292838
(주)까뮤이앤씨,013700,2007/12,2058677,85467538,6404127
(주)까뮤이앤씨,013700,2008/12,3329938,157740294,7071800
(주)까뮤이앤씨,013700,2009/12,2495294,291863521,7283971
(주)까뮤이앤씨,013700,2010/12,1355286,219370206,17424444
(주)나노엔텍,039860,2000/12,4652261,18992486,4887354
(주)나노엔텍,039860,2001/12,-3158591,14043481,-5196188
(주)나노엔텍,039860,2002/12,-1651554,21500321,-2109521
(주)나노엔텍,039860,2003/12,3036720,25447504,3039980
(주)나노엔텍,039860,2004/12,-1345162,27626782,1412169
(주)나노엔텍,039860,2005/12,-14300559,23976894,-4370264
(주)나노엔텍,039860,2006/12,-19331779,10981864,-5174741
(주)나노엔텍,039860,2007/12,-17601486,4410513,-3450672
(주)나노엔텍,039860,2008/12,-5474453,6443869,-1606131
(주)나노엔텍,039860,2009/12,14277316,13270192,1782350
(주)나노엔텍,039860,2010/12,-6810546,15096265,-1611201
(주)나노트로닉스,010670,2000/12,-3786552,15764546,-1760394
(주)나노트로닉스,010670,2001/12,-6036909,6335820,-5318312
(주)나노트로닉스,010670,2002/12,-691196,8763513,-980529
(주)나노트로닉스,010670,2003/12,-5116109,2030546,-2033889
(주)나노트로닉스,010670,2004/12,169099,2777357,-113696
(주)나노트로닉스,010670,2005/12,-851712,3269918,-604177
(주)나노트로닉스,010670,2006/12,-38891672,4405897,31336
(주)나노트로닉스,010670,2007/12,7979798,9331525,1797644
(주)나노트로닉스,010670,2008/12,5826880,5034492,179615
(주)나노트로닉스,010670,2009/12,766224,9607453,790584
(주)나노트로닉스,010670,2010/12,-6867694,18040362,867597
