회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율
에이프로젠제약(주),3060,2009/09,-203.89072822781424,50.56274353114074,194.40168197588642
에이프로젠제약(주),3060,2010/09,15.226668163984364,-21.019539428196037,-5.743249931831128
에이피에스홀딩스(주),54620,2001/12,,,
에이피에스홀딩스(주),54620,2002/12,-45.551919575960355,-52.423299450314666,-19.604743716000886
에이피에스홀딩스(주),54620,2003/12,-687.4158059200003,-2218.4716630902335,-49.066013807890215
에이피에스홀딩스(주),54620,2004/12,-279.21013632965594,-365.83063308763195,573.8758081704424
에이피에스홀딩스(주),54620,2005/12,-49.74270355936415,-73.22765797136294,-20.840620425030735
에이피에스홀딩스(주),54620,2006/12,139.85139875280345,94.02244146188006,45.5438332464357
에이피에스홀딩스(주),54620,2007/12,-252.13531308646816,-384.4769912760677,-30.149244040788137
에이피에스홀딩스(주),54620,2008/12,-858.9009304823575,-303.27911686407424,-52.16433568131094
에이피에스홀딩스(주),54620,2009/12,288.257736190131,-50.76812874458406,353.1963184498599
에이피에스홀딩스(주),54620,2010/12,-137.54696329559962,-929.3043612423418,67.7730792113379
에이피이우주통신(주),15670,2000/12,,,
에이피이우주통신(주),15670,2001/12,50.75984067746317,-65.26957278482321,3.0022683626635
에이피이우주통신(주),15670,2002/12,3.071221451342526,146.60127790766856,79.9074339387413
에이피이우주통신(주),15670,2003/12,21.259500619444356,-50.800197317998155,-27.675005273950347
에이피이우주통신(주),15670,2004/12,32.509993943064806,110.3305727194374,56.21321986737253
에이피이우주통신(주),15670,2005/12,-20.646457074423836,-36.842341000895004,-38.59757634398764
에이피이우주통신(주),15670,2006/12,,,
에코바이오홀딩스(주),38870,2001/12,,,
에코바이오홀딩스(주),38870,2002/12,420.28375889898604,5159.509144953538,54.91401470888974
에코바이오홀딩스(주),38870,2003/12,43.00079092140641,-4.39840513915446,-11.19548732067784
에코바이오홀딩스(주),38870,2004/12,-3.2863076529613977,26.146722968677288,-49.19111190791368
에코바이오홀딩스(주),38870,2005/12,-34.14787305682551,-15.77572095490593,-36.25219412463732
에코바이오홀딩스(주),38870,2006/12,26.71338206232363,77.61865406654165,-12.172184310252943
에코바이오홀딩스(주),38870,2007/12,-2.5005527776680547,42.58422677590231,75.97166396801906
에코바이오홀딩스(주),38870,2008/12,-814.1012041141398,-425.22433287522654,20.705560606649996
에코바이오홀딩스(주),38870,2009/12,4580.579544358687,230.55138574633327,365.8905410786396
에코바이오홀딩스(주),38870,2010/12,-30.81687174325234,-88.1208771183926,-4.754765516591617
에코플라스틱(주),38110,2000/12,,,
에코플라스틱(주),38110,2001/12,-83.04735114861698,-47.12501580501717,5.4609686898104695
에코플라스틱(주),38110,2002/12,123.45571709509761,22.87559530147866,10.574896052914854
에코플라스틱(주),38110,2003/12,-29.35625184166585,-24.00018676752113,1.6354123908653169
에코플라스틱(주),38110,2004/12,335.9715471118872,173.95456623136621,21.000453781764257
에코플라스틱(주),38110,2005/12,300.5196816442851,121.7717841363338,98.20450294816573
에코플라스틱(주),38110,2006/12,-0.08047939064475815,-12.930817524586507,8.527742875122014
에코플라스틱(주),38110,2007/12,-72.26669735260471,-48.00499009145187,-32.88901570644256
에코플라스틱(주),38110,2008/12,-34.40193058278617,-26.1704668143625,3.1479678551302785
에코플라스틱(주),38110,2009/12,96.58443251426249,19.223392756093347,-2.8732809195469495
에코플라스틱(주),38110,2010/12,-11.19784406322351,4.164941932191189,27.325950203655214
엑스큐어(주),70300,2010/12,,,
엔빅스(주),54170,2001/12,,,
엔빅스(주),54170,2002/12,-57.129250364071794,-76.67546526920137,4.388277577999376
엔빅스(주),54170,2003/12,-16.4650856123787,-54.553316682428765,-37.34754055509925
엔빅스(주),54170,2004/12,-98.42714256016356,110.41950957965541,11.252067553530178
엔빅스(주),54170,2005/12,1389.6657777431726,-43.30407539879383,-19.84706549139644
엔빅스(주),54170,2006/12,-1060.9031133458602,-1275.2568584616859,-31.106688105575998
엔빅스(주),54170,2007/12,-632.9980618666094,-8468.031056144999,20.709898978957604
엔빅스(주),54170,2008/12,-444.19502231680144,-17610.331938779524,22.371848026545845
엔빅스(주),54170,2009/12,-252.75562968336098,-3703.0767196409724,-26.655770295136755
엔빅스(주),54170,2010/12,-282.3321308116298,-4046.95444965282,-70.6137433826441
엔시트론(주),101400,2009/12,,,
엔시트론(주),101400,2010/12,-41.163839826701484,-43.14515698894144,-12.78222368547604
엔써커뮤니티(주),37750,2000/12,,,
엔써커뮤니티(주),37750,2001/12,-479.94735392739705,-227.85006580630903,-24.61539675944941
엔써커뮤니티(주),37750,2002/12,37.705055021703,108.10737230866225,-48.27534765820543
엔써커뮤니티(주),37750,2003/12,26.83899747113853,355.2733532833636,24.3796821091807
엔에이치엔(주),35420,2002/12,,,
엔에이치엔(주),35420,2003/12,116.1853640292303,141.88846462420165,122.89593491306248
엔에이치엔(주),35420,2004/12,5.019520711114821,-0.8360243802547457,57.49114418892552
엔에이치엔(주),35420,2005/12,59.80084067294633,-75.3048855628343,58.28713018116832
엔에이치엔(주),35420,2006/12,113.19224970787974,1008.794057272533,55.59959207133643
엔에이치엔(주),35420,2007/12,71.63365790910765,83.78080967902612,57.801631479971235
엔에이치엔한국사이버결제(주),60250,2002/12,,,
엔에이치엔한국사이버결제(주),60250,2003/12,-30.016939717578804,-52.801441867991485,-8.137272975874065
