회사명,거래소코드,회계년도,총자산증가율,자기자본증가율
(주)태경비케이,14580,2017/12,-5.485801008334745,2.6897064841512037
(주)태경비케이,14580,2018/12,11.460696076946427,12.814019117861584
(주)태경비케이,14580,2019/12,2.5927454316808984,5.1645271316549755
(주)태경비케이,14580,2020/12,-1.8216733096982198,2.9092767882426793
(주)태광,23160,2012/12,6.367150999312428,9.813039102313132
(주)태광,23160,2013/12,4.285309913332537,7.08785715970137
(주)태광,23160,2014/12,-0.42646661652660917,-0.32481741606931674
(주)태광,23160,2015/12,2.831985391672094,3.9215601050717237
(주)태광,23160,2016/12,-1.0645106487056069,1.4247536230210491
(주)태광,23160,2017/12,-4.364836284533216,-3.703915446329044
(주)태광,23160,2018/12,1.536194528080572,2.1054240567696714
(주)태광,23160,2019/12,3.8339203714607333,1.400652191853041
(주)태광,23160,2020/12,-3.5265300866945855,-2.2099577681596374
(주)태양,53620,2012/12,8.33223511345554,6.198598174884353
(주)태양,53620,2013/12,3.6297327933604615,6.331591988226613
(주)태양,53620,2014/12,1.5429881277870348,5.62769110400331
(주)태양,53620,2015/12,16.371123557217864,2.6825021253376864
(주)태양,53620,2016/12,0.4052887770672724,9.497879765609547
(주)태양,53620,2017/12,-2.4581780307724683,3.5640498312719497
(주)태양,53620,2018/12,-2.1145426551588153,0.686786661649389
(주)태양,53620,2019/12,1.8726650350058094,4.452658280234429
(주)태양,53620,2020/12,7.588892097536889,3.5040234885178325
(주)태영건설,9410,2012/12,2.6508458707583764,7.01139853448087
(주)태영건설,9410,2013/12,-0.6727554425281904,2.411075964328806
(주)태영건설,9410,2014/12,-3.845116400584513,-2.3482998475979495
(주)태영건설,9410,2015/12,4.59476308868551,2.50432337903869
(주)태영건설,9410,2016/12,15.873753424005093,-0.21750846839400004
(주)태영건설,9410,2017/12,36.18777534881982,13.796003085115272
(주)태영건설,9410,2018/12,4.345964269665556,3.266634370327858
(주)태영건설,9410,2019/12,19.311282791490118,6.014902097322547
(주)태영건설,9410,2020/12,-35.79810945521284,-58.839609434124576
(주)태웅,44490,2012/12,-12.128959643046528,1.7673930718888304
(주)태웅,44490,2013/12,-2.2490093442704486,8.281603940435563
(주)태웅,44490,2014/12,17.669628696455682,14.459685542042228
(주)태웅,44490,2015/12,12.573725353534805,1.2219453504221562
(주)태웅,44490,2016/12,13.567544386486901,8.983029610914711
(주)태웅,44490,2017/12,2.5343346298235176,-0.869825109384865
(주)태웅,44490,2018/12,2.898797529679137,-4.0995361666397265
(주)태웅,44490,2019/12,-3.623958119893563,-5.760953043554152
(주)태웅,44490,2020/12,-19.382981185168884,-17.812114992969068
(주)태웅로직스,124560,2018/12,13.220157655311507,38.31227693375693
(주)태웅로직스,124560,2019/12,31.981350578535384,92.11359374450122
(주)태웅로직스,124560,2020/12,40.13751939871278,43.39524141277216
(주)태창파로스,39850,2012/12,13.221683376246892,-26.11533828279268
(주)태창파로스,39850,2013/12,-52.28558943102235,-14.95391920102917
(주)태창파로스,39850,2014/12,-30.85487611386453,-49.3643685489308
(주)터보테크,32420,2012/12,68.61016546542652,98.34340097473596
(주)터보테크,32420,2013/12,-31.931394973523176,-61.90921418390049
(주)테라리소스,53320,2012/12,-26.142779016982505,-19.213041833107233
(주)테라젠이텍스,66700,2012/12,13.636420814792244,27.801722161539928
(주)테라젠이텍스,66700,2013/12,6.269845251209698,10.999062415600406
(주)테라젠이텍스,66700,2014/12,3.9109954060340137,2.925373964661887
(주)테라젠이텍스,66700,2015/12,9.734086797063952,-7.434869585994547
(주)테라젠이텍스,66700,2016/12,2.1971520086513605,4.11168462242241
(주)테라젠이텍스,66700,2017/12,3.167538302030436,18.512363837525726
(주)테라젠이텍스,66700,2018/12,20.118212768308354,-4.125223031132196
(주)테라젠이텍스,66700,2019/12,38.253717966907516,61.85821117874731
(주)테라젠이텍스,66700,2020/12,121.48636281591698,164.05653552707486
(주)테스,95610,2012/12,23.89640371181925,1.3049566584417704
(주)테스,95610,2013/12,-8.033378732475446,12.42426650719878
(주)테스,95610,2014/12,20.7667875527844,30.73520073927049
(주)테스,95610,2015/12,9.052353374598551,12.122192972306586
(주)테스,95610,2016/12,53.25311549480778,57.352205142007975
(주)테스,95610,2017/12,31.184836855834273,27.962064273441843
(주)테스,95610,2018/12,-0.27604974656431885,12.047618502094238
(주)테스,95610,2019/12,2.513422124764176,1.1688578909793559
(주)테스,95610,2020/12,10.878694411935681,10.041632409822366
(주)테이팩스,55490,2014/12,14.287636561228856,15.397886977539061
(주)테이팩스,55490,2015/12,-6.697562762192347,-37.9958929129134
(주)테이팩스,55490,2016/12,47.67235345350424,23.507218122467485
(주)테이팩스,55490,2017/12,-2.8352477755935586,23.3018109584747
(주)테이팩스,55490,2018/12,0.27784748785433083,5.787550983846397
(주)테이팩스,55490,2019/12,-9.483758406916474,8.153087402784308
(주)테이팩스,55490,2020/12,12.118952621750125,13.599837503616142
(주)테크윙,89030,2012/12,0.7952021519454517,8.808439233341506
(주)테크윙,89030,2013/12,25.439342998152515,12.423225950825207
(주)테크윙,89030,2014/12,15.726781065536866,15.407512156792984
(주)테크윙,89030,2015/12,21.95860997417387,29.201265396253667
(주)테크윙,89030,2016/12,26.505318543401184,11.122073328010046
(주)테크윙,89030,2017/12,27.923443735982733,42.09135576750291
(주)테크윙,89030,2018/12,-1.8878023037310017,7.233584917968145
(주)테크윙,89030,2019/12,12.922019496748982,15.214783235116816
(주)테크윙,89030,2020/12,9.67112242855926,14.714312343508334
(주)텔레칩스,54450,2012/12,-0.13927248333504566,-2.694150389221613
(주)텔레칩스,54450,2013/12,-16.60624502486669,-20.27651864537196
(주)텔레칩스,54450,2014/12,4.976758954841729,0.39093579851800336
(주)텔레칩스,54450,2015/12,4.570836195293332,1.9567544281759763
(주)텔레칩스,54450,2016/12,14.327297753761956,14.226137611203121
(주)텔레칩스,54450,2017/12,7.905531426138923,1.8413639957522412
(주)텔레칩스,54450,2018/12,11.992481325712854,18.346876967733657
(주)텔레칩스,54450,2019/12,12.909775104277404,6.164252881206702
(주)텔레칩스,54450,2020/12,6.61076814515619,-10.221666323343637
(주)텔레필드,91440,2012/12,-3.57467196800514,2.330882636673604
(주)텔레필드,91440,2013/12,9.594570225800956,1.2481440995291593
(주)텔레필드,91440,2014/12,8.97956734539792,9.247943599215727
(주)텔레필드,91440,2015/12,8.140792786753027,4.038462873255674
(주)텔레필드,91440,2016/12,12.441534107833283,-8.233851451127535
(주)텔레필드,91440,2017/12,-0.59865523042191,2.7157087917002776
(주)텔레필드,91440,2018/12,-9.837496092910854,-12.627139197081622
(주)텔레필드,91440,2019/12,17.755205427870628,21.813764991566444
(주)텔레필드,91440,2020/12,7.263949654849952,-23.846095258138416
(주)텔콘알에프제약,200230,2013/12,44.347350493505786,50.578170790280595
(주)텔콘알에프제약,200230,2014/12,48.337900128554004,91.98195296164616
(주)텔콘알에프제약,200230,2015/12,0.8294089605289202,1.8132986046687303
(주)텔콘알에프제약,200230,2016/12,145.9648124489445,87.21863795290935
(주)텔콘알에프제약,200230,2017/12,76.99749889441068,64.0576210780066
(주)텔콘알에프제약,200230,2018/12,-13.283384749099591,15.04620531134728
(주)텔콘알에프제약,200230,2019/12,-28.773099434125836,-27.228271820825352
(주)텔콘알에프제약,200230,2020/12,42.91244395824093,-19.137580762322745
(주)토니모리,214420,2014/12,21.649010418948567,30.11198989420562
(주)토니모리,214420,2015/12,59.81617617223169,135.8019147348401
