,회사명,거래소코드,회계년도,영업이익,당기순이익,매출액
99,(주)STX,11810,2010/12,427858780.0,25672189.0,19607371235.0
100,(주)TCC스틸,2710,2000/12,14307912.0,5625114.0,244227642.0
101,(주)TCC스틸,2710,2001/12,14299893.0,2168929.0,254601800.0
102,(주)TCC스틸,2710,2002/12,9418706.0,4942314.0,263647511.0
103,(주)TCC스틸,2710,2003/12,8243366.0,5535685.0,289797303.0
104,(주)TCC스틸,2710,2004/12,5428132.0,14374974.0,361287927.0
105,(주)TCC스틸,2710,2005/12,5312091.0,3360673.0,347212301.0
106,(주)TCC스틸,2710,2006/12,-522384.0,6778310.0,283226170.0
107,(주)TCC스틸,2710,2007/12,8296271.0,952516.0,297902140.0
108,(주)TCC스틸,2710,2008/12,52331474.0,624601.0,437461926.0
109,(주)TCC스틸,2710,2009/12,15084342.0,12010743.0,363845213.0
110,(주)TCC스틸,2710,2010/12,15738571.0,10765811.0,442430416.0
111,(주)가비아,79940,2005/12,1749970.0,1648518.0,13842437.0
112,(주)가비아,79940,2006/12,2264750.0,1994345.0,15590215.0
113,(주)가비아,79940,2007/12,4871357.0,3022438.0,27270400.0
114,(주)가비아,79940,2008/12,5522735.0,2909428.0,32695039.0
115,(주)가비아,79940,2009/12,5631163.0,4441702.0,35644995.0
116,(주)가비아,79940,2010/12,6616833.0,5289526.0,40746190.0
117,(주)갑을,9840,2000/12,-4496371.0,-89776749.0,297559721.0
118,(주)갑을,9840,2001/12,25784350.0,-245440190.0,564188666.0
119,(주)갑을,9840,2002/12,-22128664.0,-244010633.0,236342997.0
120,(주)강원랜드,35250,2001/12,302920519.0,218278162.0,462019837.0
121,(주)강원랜드,35250,2002/12,298339170.0,221018430.0,476061165.0
122,(주)강원랜드,35250,2003/12,331114954.0,229690326.0,677131541.0
123,(주)강원랜드,35250,2004/12,380556261.0,271233488.0,764113464.0
124,(주)강원랜드,35250,2005/12,416739551.0,299087521.0,846961875.0
125,(주)강원랜드,35250,2006/12,326154762.0,247935896.0,869495601.0
126,(주)강원랜드,35250,2007/12,418174770.0,292776710.0,1066507237.0
127,(주)강원랜드,35250,2008/12,470761907.0,309254549.0,1149282882.0
128,(주)강원랜드,35250,2009/12,463657864.0,390000453.0,1206658712.0
129,(주)강원랜드,35250,2010/12,565893599.0,421119501.0,1314090565.0
130,(주)강원에너지,114190,2009/11,4242047.0,2590392.0,38673260.0
131,(주)강원에너지,114190,2010/11,1779388.0,1716786.0,30619298.0
132,(주)갤럭시아에스엠,11420,2000/12,5240859.0,896380.0,80300777.0
133,(주)갤럭시아에스엠,11420,2001/12,5322353.0,1448570.0,65486715.0
134,(주)갤럭시아에스엠,11420,2002/12,-2271527.0,-4452841.0,62516316.0
135,(주)갤럭시아에스엠,11420,2003/12,949280.0,-3250884.0,61846728.0
136,(주)갤럭시아에스엠,11420,2004/12,-12428870.0,64902.0,29759229.0
137,(주)갤럭시아에스엠,11420,2005/12,-5295401.0,-7377900.0,32424868.0
138,(주)갤럭시아에스엠,11420,2006/12,-792464.0,-7515189.0,45284226.0
139,(주)갤럭시아에스엠,11420,2007/12,6472954.0,3564680.0,46163886.0
140,(주)갤럭시아에스엠,11420,2008/12,6590527.0,-3112483.0,54450391.0
141,(주)갤럭시아에스엠,11420,2009/12,2178651.0,1983450.0,47884151.0
142,(주)갤럭시아에스엠,11420,2010/12,3765452.0,441104.0,42704968.0
143,(주)건영,12720,2000/12,-61922478.0,-207473421.0,191941011.0
144,(주)건영,12720,2001/12,-36494804.0,18519702.0,176576942.0
145,(주)건영,12720,2002/12,4613776.0,-32294963.0,163767589.0
146,(주)경농,2100,2000/12,11265157.0,4477985.0,111430975.0
147,(주)경농,2100,2001/12,14319548.0,4452297.0,155060559.0
148,(주)경농,2100,2002/12,10944925.0,6061997.0,110611997.0
149,(주)경농,2100,2003/12,7315651.0,-10154203.0,147676942.0
150,(주)경농,2100,2004/12,10623569.0,2830649.0,158205259.0
151,(주)경농,2100,2005/12,16264764.0,7825511.0,166391481.0
152,(주)경농,2100,2006/12,19834868.0,12302971.0,160916154.0
153,(주)경농,2100,2007/12,19764756.0,15008448.0,128992027.0
154,(주)경농,2100,2008/12,13749851.0,11567598.0,140801593.0
155,(주)경농,2100,2009/12,16796762.0,16775692.0,149831874.0
156,(주)경농,2100,2010/12,14046329.0,9299526.0,143042882.0
157,(주)경동나비엔,9450,2000/12,12220750.0,6165417.0,170347574.0
158,(주)경동나비엔,9450,2001/12,16638429.0,11049674.0,187890222.0
159,(주)경동나비엔,9450,2002/12,22746125.0,17240604.0,210786227.0
160,(주)경동나비엔,9450,2003/12,10983489.0,9531985.0,199578442.0
161,(주)경동나비엔,9450,2004/12,6371831.0,5477098.0,183634309.0
162,(주)경동나비엔,9450,2005/12,2227870.0,4980877.0,179316818.0
163,(주)경동나비엔,9450,2006/12,1939172.0,6014772.0,189345349.0
164,(주)경동나비엔,9450,2007/12,1550811.0,7666607.0,184546497.0
165,(주)경동나비엔,9450,2008/12,5439693.0,7693123.0,213965135.0
166,(주)경동나비엔,9450,2009/12,6960289.0,3688748.0,253008512.0
167,(주)경동나비엔,9450,2010/12,12846979.0,7689537.0,307887854.0
168,(주)경동인베스트,12320,2000/12,19063668.0,12971003.0,232459868.0
169,(주)경동인베스트,12320,2001/12,14990165.0,15017543.0,302638845.0
170,(주)경동인베스트,12320,2002/12,20384423.0,14881549.0,320227743.0
171,(주)경동인베스트,12320,2003/12,18404515.0,15600248.0,364165552.0
172,(주)경동인베스트,12320,2004/12,15761343.0,14817137.0,371421230.0
173,(주)경동인베스트,12320,2005/12,18282634.0,16480818.0,454461201.0
174,(주)경동인베스트,12320,2006/12,22887447.0,18642320.0,560808607.0
175,(주)경동인베스트,12320,2007/12,23087018.0,21572475.0,653835322.0
176,(주)경동인베스트,12320,2008/12,39445566.0,27284195.0,958668447.0
177,(주)경동인베스트,12320,2009/12,22458180.0,23669974.0,992419369.0
178,(주)경동인베스트,12320,2010/12,34302101.0,33295644.0,1423496353.0
179,(주)경방,50,2000/12,6776930.0,-421004.0,370385537.0
180,(주)경방,50,2001/12,1924905.0,-4303079.0,342763747.0
181,(주)경방,50,2002/12,54827.0,-599052.0,330176753.0
182,(주)경방,50,2003/12,-251383.0,-7705195.0,225173650.0
183,(주)경방,50,2004/12,-6116458.0,-9290612.0,210960273.0
184,(주)경방,50,2005/12,4417889.0,1165322.0,198690434.0
185,(주)경방,50,2006/12,-6240047.0,-22165448.0,199388703.0
186,(주)경방,50,2007/12,-13833883.0,65608691.0,186167521.0
187,(주)경방,50,2008/12,-6603770.0,-14835529.0,159559778.0
188,(주)경방,50,2009/12,-16288929.0,-241834.0,197278763.0
189,(주)경방,50,2010/12,38357716.0,18790754.0,333749209.0
190,(주)경윤하이드로에너지,19120,2000/12,1968958.0,2031526.0,42297776.0
191,(주)경윤하이드로에너지,19120,2001/12,5615358.0,3792142.0,99461030.0
192,(주)경윤하이드로에너지,19120,2002/12,312882.0,2339624.0,99504047.0
193,(주)경윤하이드로에너지,19120,2003/12,-1110067.0,1122033.0,93748161.0
