회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율
(주)리노스,39980,2013/12,-44.396785561800996,-55.955745051954366,-21.885464418013946
(주)리노스,39980,2014/12,98.77786790845805,107.33890503359093,29.33192789576887
(주)리노스,39980,2015/12,-17.28073634120035,159.3711425979644,-10.534197363821846
(주)리노스,39980,2016/12,-42.37706808392468,-81.31608831063683,6.819425330447331
(주)리노스,39980,2017/12,-6.621437022721648,76.0831072675504,1.1883374083899894
(주)리노스,39980,2018/12,-57.883289074937906,-56.24314982381744,-29.412512725446653
(주)리노스,39980,2019/12,-119.83357435519181,-120.32864386747492,13.464292551018547
(주)리노스,39980,2020/12,1829.3087109404225,1199.2204376395302,5.605800395590001
(주)리더스코스메틱,16100,2011/12,,,
(주)리더스코스메틱,16100,2012/12,121.16336598593963,-119.7099578856521,19.62431552716151
(주)리더스코스메틱,16100,2013/12,182.89291109172186,-25.240646072594412,35.40438764945636
(주)리더스코스메틱,16100,2014/12,903.0767460966621,-112.77288015957309,64.22856154678291
(주)리더스코스메틱,16100,2015/12,55.48077245214119,-47.887851285864095,43.93695089381911
(주)리더스코스메틱,16100,2016/12,-43.54289449965572,-13.223430004880466,4.935064015047124
(주)리더스코스메틱,16100,2017/12,-101.3169756362825,-202.51732242747806,-22.818951673716064
(주)리더스코스메틱,16100,2018/12,5223.557142131802,73.51034668710894,-0.5349069327353215
(주)리더스코스메틱,16100,2019/12,104.13577832173024,320.39374604637015,-31.289599940407925
(주)리더스코스메틱,16100,2020/12,-58.00975191801977,-438.64015240816616,-2.003384602463756
(주)리드,197210,2011/12,,,
(주)리드,197210,2012/12,,,
(주)리드,197210,2013/12,,,
(주)리드,197210,2014/12,-49.02014026431025,86.05624130787297,10.472265073126941
(주)리드,197210,2015/12,0.6486174476587109,-21.108664299117596,5.268978858072394
(주)리드,197210,2016/12,-61.41468551269749,-76.23639955574339,-16.969011959826084
(주)리드,197210,2017/12,-1711.748077722683,-6304.019665423102,5.575009864375505
(주)리드,197210,2018/12,-90.815874106824,-35.60099203855371,-12.250039603702783
(주)리드,197210,2019/12,593.0611513355105,239.80599918576831,-43.88168313667901
(주)리드코프,12700,2011/12,,,
(주)리드코프,12700,2012/12,15.96457280660558,10.156010506942208,22.35850351718734
(주)리드코프,12700,2013/12,22.785212103252768,33.81009044709952,7.319040824122148
(주)리드코프,12700,2014/12,10.23742334823221,11.79832486956338,22.836613389456524
(주)리드코프,12700,2015/12,6.302866773062407,4.756426578985056,6.4950808278181364
(주)리드코프,12700,2016/12,-3.711542287229572,-19.226042712916293,17.91438232242929
(주)리드코프,12700,2017/12,-7.395539550541663,9.797166327358527,0.9121327300071573
(주)리드코프,12700,2018/12,-5.127033096390088,-11.667839225907137,4.874936054994004
(주)리드코프,12700,2019/12,20.039535769378613,26.86137764252281,6.749128677826438
(주)리드코프,12700,2020/12,11.510407421288416,13.02646274429684,-24.66064182630301
(주)리메드,302550,2016/12,,,
(주)리메드,302550,2017/12,,,
