회사명,거래소코드,회계년도,상장일,상장폐지일,자산,자본,영업손익,당기순이익,매출액
(주)경농,2100,2002/12,1977/06/30,,162207860.0,89496954.0,10944925.0,6061997.0,110611997.0
(주)경농,2100,2003/12,1977/06/30,,204937889.0,95095011.0,7315651.0,-10154203.0,147676942.0
(주)경농,2100,2004/12,1977/06/30,,197483850.0,102358416.0,10623569.0,2830649.0,158205259.0
(주)경농,2100,2005/12,1977/06/30,,215393655.0,109410129.0,16264764.0,7825511.0,166391481.0
(주)경농,2100,2006/12,1977/06/30,,226960926.0,117378647.0,19834868.0,12302971.0,160916154.0
(주)경농,2100,2007/12,1977/06/30,,177609593.0,123096461.0,19764756.0,15008448.0,128992027.0
(주)경농,2100,2008/12,1977/06/30,,200945613.0,137874173.0,13749851.0,11567598.0,140801593.0
(주)경농,2100,2009/12,1977/06/30,,197625886.0,146235687.0,16796762.0,16775692.0,149831874.0
(주)경농,2100,2010/12,1977/06/30,,200356833.0,152201657.0,14046329.0,9299526.0,143042882.0
(주)경동나비엔,9450,2000/12,1993/08/31,,148013991.0,71823526.0,12220750.0,6165417.0,170347574.0
(주)경동나비엔,9450,2001/12,1993/08/31,,143058258.0,82198871.0,16638429.0,11049674.0,187890222.0
(주)경동나비엔,9450,2002/12,1993/08/31,,159979374.0,96923624.0,22746125.0,17240604.0,210786227.0
(주)경동나비엔,9450,2003/12,1993/08/31,,159385679.0,106996521.0,10983489.0,9531985.0,199578442.0
(주)경동나비엔,9450,2004/12,1993/08/31,,158832722.0,109854676.0,6371831.0,5477098.0,183634309.0
(주)경동나비엔,9450,2005/12,1993/08/31,,163031226.0,115795182.0,2227870.0,4980877.0,179316818.0
(주)경동나비엔,9450,2006/12,1993/08/31,,174190342.0,120489805.0,1939172.0,6014772.0,189345349.0
(주)경동나비엔,9450,2007/12,1993/08/31,,180012492.0,129201513.0,1550811.0,7666607.0,184546497.0
(주)경동나비엔,9450,2008/12,1993/08/31,,197388300.0,142361527.0,5439693.0,7693123.0,213965135.0
(주)경동나비엔,9450,2009/12,1993/08/31,,204062639.0,141556730.0,6960289.0,3688748.0,253008512.0
(주)경동나비엔,9450,2010/12,1993/08/31,,233925964.0,153747339.0,12846979.0,7689537.0,307887854.0
(주)경동인베스트,12320,2000/12,1997/03/07,,229844671.0,116479971.0,19063668.0,12971003.0,232459868.0
(주)경동인베스트,12320,2001/12,1997/03/07,,236713605.0,122863948.0,14990165.0,15017543.0,302638845.0
(주)경동인베스트,12320,2002/12,1997/03/07,,254685070.0,134210405.0,20384423.0,14881549.0,320227743.0
(주)경동인베스트,12320,2003/12,1997/03/07,,270634637.0,145580880.0,18404515.0,15600248.0,364165552.0
(주)경동인베스트,12320,2004/12,1997/03/07,,292014153.0,157514165.0,15761343.0,14817137.0,371421230.0
(주)경동인베스트,12320,2005/12,1997/03/07,,330893657.0,175912463.0,18282634.0,16480818.0,454461201.0
(주)경동인베스트,12320,2006/12,1997/03/07,,355503449.0,192200028.0,22887447.0,18642320.0,560808607.0
(주)경동인베스트,12320,2007/12,1997/03/07,,420638257.0,211936745.0,23087018.0,21572475.0,653835322.0
(주)경동인베스트,12320,2008/12,1997/03/07,,485130652.0,236663250.0,39445566.0,27284195.0,958668447.0
(주)경동인베스트,12320,2009/12,1997/03/07,,589475791.0,259873020.0,22458180.0,23669974.0,992419369.0
(주)경동인베스트,12320,2010/12,1997/03/07,,709990503.0,303998551.0,34302101.0,33295644.0,1423496353.0
(주)경방,50,2000/12,1956/03/03,,648412007.0,374677511.0,6776930.0,-421004.0,370385537.0
(주)경방,50,2001/12,1956/03/03,,593633670.0,342013125.0,1924905.0,-4303079.0,342763747.0
(주)경방,50,2002/12,1956/03/03,,559264554.0,358065185.0,54827.0,-599052.0,330176753.0
(주)경방,50,2003/12,1956/03/03,,549498735.0,349917229.0,-251383.0,-7705195.0,225173650.0
(주)경방,50,2004/12,1956/03/03,,529687564.0,340227484.0,-6116458.0,-9290612.0,210960273.0
(주)경방,50,2005/12,1956/03/03,,521048072.0,341120569.0,4417889.0,1165322.0,198690434.0
(주)경방,50,2006/12,1956/03/03,,615498805.0,319295014.0,-6240047.0,-22165448.0,199388703.0
(주)경방,50,2007/12,1956/03/03,,570705369.0,385429581.0,-13833883.0,65608691.0,186167521.0
(주)경방,50,2008/12,1956/03/03,,787724257.0,407493133.0,-6603770.0,-14835529.0,159559778.0
(주)경방,50,2009/12,1956/03/03,,1481470960.0,714374320.0,-16288929.0,-241834.0,197278763.0
(주)경방,50,2010/12,1956/03/03,,1431695761.0,731498535.0,38357716.0,18790754.0,333749209.0
(주)경보제약,214390,2000/12,2015/06/29,,40018442.0,2310759.0,4330417.0,626352.0,43295113.0
(주)경보제약,214390,2001/12,2015/06/29,,50172318.0,9871389.0,3064042.0,440203.0,39090525.0
(주)경보제약,214390,2002/12,2015/06/29,,77079098.0,7083300.0,4640454.0,-2783690.0,40733105.0
(주)경보제약,214390,2003/12,2015/06/29,,72890347.0,17197094.0,7134181.0,330177.0,44515814.0
(주)경보제약,214390,2004/12,2015/06/29,,76181945.0,29996779.0,5126042.0,374697.0,46923160.0
(주)경보제약,214390,2005/12,2015/06/29,,59928842.0,12768884.0,341984.0,-21165395.0,46652403.0
(주)경보제약,214390,2006/12,2015/06/29,,72233066.0,13927871.0,5288598.0,189052.0,60768017.0
(주)경보제약,214390,2007/12,2015/06/29,,66800493.0,6943956.0,2638923.0,-6001734.0,62619509.0
(주)경보제약,214390,2008/12,2015/06/29,,87159690.0,14354022.0,8997106.0,3932018.0,87798440.0
(주)경보제약,214390,2009/12,2015/06/29,,95018327.0,22570856.0,12863626.0,7874729.0,121668679.0
(주)경보제약,214390,2010/12,2015/06/29,,109191930.0,33053216.0,17561917.0,9926841.0,140209101.0
(주)경윤하이드로에너지,19120,2000/12,1992/12/18,2011/04/06,26485696.0,15128503.0,1968958.0,2031526.0,42297776.0
(주)경윤하이드로에너지,19120,2001/12,1992/12/18,2011/04/06,42831714.0,16509807.0,5615358.0,3792142.0,99461030.0
(주)경윤하이드로에너지,19120,2002/12,1992/12/18,2011/04/06,47444896.0,17983355.0,312882.0,2339624.0,99504047.0
(주)경윤하이드로에너지,19120,2003/12,1992/12/18,2011/04/06,56416286.0,21537342.0,-1110067.0,1122033.0,93748161.0
(주)경윤하이드로에너지,19120,2004/12,1992/12/18,2011/04/06,60943548.0,22046228.0,1317622.0,1374590.0,97239507.0
(주)경윤하이드로에너지,19120,2005/12,1992/12/18,2011/04/06,72940214.0,22410757.0,-767653.0,-1735126.0,88026368.0
(주)경윤하이드로에너지,19120,2006/12,1992/12/18,2011/04/06,75666515.0,19329210.0,376367.0,-3147074.0,94111304.0
(주)경윤하이드로에너지,19120,2007/12,1992/12/18,2011/04/06,78473931.0,17744251.0,458341.0,-2370104.0,80488922.0
(주)경윤하이드로에너지,19120,2008/12,1992/12/18,2011/04/06,47487913.0,8160357.0,-1442859.0,-6727760.0,26011791.0
