회사명,거래소코드,회계년도,상장일,상장폐지일,매출액증가율_계산
(주)강스템바이오텍,217730,2017/12,2015/12/21,,983.6360724010893
(주)강스템바이오텍,217730,2018/12,2015/12/21,,0.35601902082122744
(주)강스템바이오텍,217730,2019/12,2015/12/21,,-34.486780469358095
(주)강스템바이오텍,217730,2020/12,2015/12/21,,52.18203292684389
(주)강원랜드,35250,2010/12,2003/09/04,,8.903250930160276
(주)강원랜드,35250,2011/12,2003/09/04,,-3.6834706289821053
(주)강원랜드,35250,2012/12,2003/09/04,,2.4101386723808784
(주)강원랜드,35250,2013/12,2003/09/04,,5.022050284319816
(주)강원랜드,35250,2014/12,2003/09/04,,9.935809490721219
(주)강원랜드,35250,2015/12,2003/09/04,,9.166161005761284
(주)강원랜드,35250,2016/12,2003/09/04,,3.844954676383794
(주)강원랜드,35250,2017/12,2003/09/04,,-5.426507031435249
(주)강원랜드,35250,2018/12,2003/09/04,,-10.371695967862735
(주)강원랜드,35250,2019/12,2003/09/04,,5.7035999876386185
(주)강원랜드,35250,2020/12,2003/09/04,,-68.51621463095339
(주)강원에너지,114190,2010/11,2009/11/20,,-20.825660934713028
(주)강원에너지,114190,2011/11,2009/11/20,,64.0236559309753
(주)강원에너지,114190,2012/12,2009/11/20,,111.99737761019418
(주)강원에너지,114190,2013/12,2009/11/20,,-52.41844523346939
(주)강원에너지,114190,2014/12,2009/11/20,,1.6199197092955304
(주)강원에너지,114190,2015/12,2009/11/20,,-10.280732695262424
(주)강원에너지,114190,2016/12,2009/11/20,,-8.446208792702903
(주)강원에너지,114190,2017/12,2009/11/20,,93.9932163834902
(주)강원에너지,114190,2018/12,2009/11/20,,4.718161843184923
(주)강원에너지,114190,2019/12,2009/11/20,,-50.469191301381464
(주)강원에너지,114190,2020/12,2009/11/20,,-9.881300473127586
(주)갤럭시아에스엠,11420,2010/12,1989/11/14,,-10.816069392146057
(주)갤럭시아에스엠,11420,2011/12,1989/11/14,,10.833538149472446
(주)갤럭시아에스엠,11420,2012/12,1989/11/14,,16.306934925076312
(주)갤럭시아에스엠,11420,2013/12,1989/11/14,,-15.644813675023887
(주)갤럭시아에스엠,11420,2014/12,1989/11/14,,-5.494311211520807
(주)갤럭시아에스엠,11420,2015/12,1989/11/14,,42.35269765724723
(주)갤럭시아에스엠,11420,2016/12,1989/11/14,,-15.761147651662673
(주)갤럭시아에스엠,11420,2017/12,1989/11/14,,-29.158504323624612
(주)갤럭시아에스엠,11420,2018/12,1989/11/14,,-40.82710411230516
(주)갤럭시아에스엠,11420,2019/12,1989/11/14,,30.245426502214624
(주)갤럭시아에스엠,11420,2020/12,1989/11/14,,-31.995223974764066
(주)건영,12720,2002/12,1989/08/22,2003/10/02,-7.254261431257541
(주)경농,2100,2010/12,1977/06/30,,-4.531073274836034
(주)경농,2100,2011/12,1977/06/30,,-15.232688754131784
(주)경농,2100,2012/12,1977/06/30,,12.961960182544678
(주)경농,2100,2013/12,1977/06/30,,43.35862474978088
(주)경농,2100,2014/12,1977/06/30,,-4.010922303150203
(주)경농,2100,2015/12,1977/06/30,,4.210224163967296
(주)경농,2100,2016/12,1977/06/30,,3.8520917890154154
(주)경농,2100,2017/12,1977/06/30,,1.2498192329777837
(주)경농,2100,2018/12,1977/06/30,,2.9633008028658394
(주)경농,2100,2019/12,1977/06/30,,6.986128121544617
(주)경농,2100,2020/12,1977/06/30,,9.135641085498388
(주)경동나비엔,9450,2010/12,1993/08/31,,21.6907097576227
(주)경동나비엔,9450,2011/12,1993/08/31,,10.834809677162518
(주)경동나비엔,9450,2012/12,1993/08/31,,11.067452955186699
(주)경동나비엔,9450,2013/12,1993/08/31,,9.27756731178813
(주)경동나비엔,9450,2014/12,1993/08/31,,3.5752306157038998
(주)경동나비엔,9450,2015/12,1993/08/31,,19.358645253550783
(주)경동나비엔,9450,2016/12,1993/08/31,,13.909659241024256
(주)경동나비엔,9450,2017/12,1993/08/31,,17.386635077945538
(주)경동나비엔,9450,2018/12,1993/08/31,,6.1462036805668125
(주)경동나비엔,9450,2019/12,1993/08/31,,6.542777793177565
(주)경동나비엔,9450,2020/12,1993/08/31,,12.801175900466449
(주)경동도시가스,267290,2018/12,2017/05/12,,84.33079342738972
(주)경동도시가스,267290,2019/12,2017/05/12,,-11.442289803019513
(주)경동도시가스,267290,2020/12,2017/05/12,,-23.608305144393896
(주)경동인베스트,12320,2010/12,1997/03/07,,43.43697810275204
(주)경동인베스트,12320,2011/12,1997/03/07,,29.797796749255177
(주)경동인베스트,12320,2012/12,1997/03/07,,35.44878624694399
(주)경동인베스트,12320,2013/12,1997/03/07,,11.412816576781765
